City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hradyz'k,49.2346,33.1361,32.74,35,0,8.19,UA,1691312064
1,waitangi,-43.9535,-176.5597,7.68,60,100,6.83,NZ,1691312064
2,puerto natales,-51.7236,-72.4875,-0.89,75,97,7.14,CL,1691312064
3,olonkinbyen,70.9221,-8.7187,3.35,97,100,9.82,SJ,1691312065
4,tara,56.8944,74.371,25.54,35,0,4.1,RU,1691312065
5,grytviken,-54.2811,-36.5092,-7.24,84,37,3.59,GS,1691312065
6,port-aux-francais,-49.35,70.2167,3.74,85,89,12.36,TF,1691312065
7,anadyr,64.75,177.4833,11.28,76,40,6.0,RU,1691312065
8,adamstown,-25.066,-130.1015,21.71,88,93,13.45,PN,1691312065
9,mount gambier,-37.8333,140.7667,8.25,80,100,1.39,AU,1691311931
10,sur,22.5667,59.5289,36.23,43,49,1.88,OM,1691312066
11,kodiak,57.79,-152.4072,11.73,94,100,3.6,US,1691312066
12,ribeira grande,38.5167,-28.7,23.21,78,20,2.68,PT,1691312066
13,college,64.8569,-147.8028,18.99,66,75,3.6,US,1691312066
14,sao jose da coroa grande,-8.8978,-35.1478,23.79,85,69,4.82,BR,1691312066
15,yellowknife,62.456,-114.3525,13.29,82,75,3.09,CA,1691311810
16,dunedin,-45.8742,170.5036,9.33,76,95,0.45,NZ,1691311944
17,cuenca,-2.8833,-78.9833,10.64,96,100,1.38,EC,1691312067
18,edinburgh of the seven seas,-37.0676,-12.3116,10.18,80,17,22.28,SH,1691312067
19,amga,60.8953,131.9608,24.12,50,100,2.02,RU,1691312067
20,ushuaia,-54.8,-68.3,-2.19,100,100,13.89,AR,1691311824
21,bredasdorp,-34.5322,20.0403,16.25,65,2,2.93,ZA,1691312068
22,longyearbyen,78.2186,15.6401,9.91,93,75,3.09,SJ,1691312068
23,bethel,41.3712,-73.414,19.79,85,0,2.06,US,1691311857
24,port mathurin,-19.6833,63.4167,22.41,63,2,11.49,MU,1691312068
25,ivdel',60.6911,60.4206,24.39,66,76,2.45,RU,1691312069
